model,task_id,family_id,label,mean_rating,mean_chars,self_bleu,mean_nll,rn_margin,p3_N
qwen,F01_A,F01,ambiguous,5.0,2499.3333333333335,0.7433308401894788,0.3728141685326894,,0.00767780817812028
qwen,F01_N,F01,nonroutine,5.0,2219.6666666666665,0.7513162393162393,0.45725830396016437,2.5721286297161554,0.9162340885134622
qwen,F01_R,F01,routine,4.333333333333333,1539.0,0.8724616369735708,0.2715409994125366,-4.0555739799484485,0.0033317516123771355
qwen,F02_A,F02,ambiguous,5.0,2411.3333333333335,0.8108838807487119,0.42153387268384296,,0.2899328196793128
qwen,F02_N,F02,nonroutine,5.0,2087.3333333333335,0.7879689348903011,0.40156997243563336,1.6542210887100215,0.20848204327450248
qwen,F02_R,F02,routine,5.0,1767.0,0.8770218994542219,0.2565143555402756,-4.389174563324115,0.005637249617657531
qwen,F03_A,F03,ambiguous,4.0,178.66666666666666,0.7717864923747277,0.41061248381932575,,0.1260579973608157
qwen,F03_N,F03,nonroutine,4.0,141.0,0.8094444444444444,0.4193764825661977,1.2564651390745276,0.6056718050192651
qwen,F03_R,F03,routine,4.0,177.66666666666666,0.8893178893178894,0.47308992346127826,-3.6218562281138915,0.011934901896443884
qwen,F04_A,F04,ambiguous,4.0,175.33333333333334,0.5020016339869281,0.4525785942872365,,0.11366858398019648
qwen,F04_N,F04,nonroutine,4.333333333333333,144.66666666666666,0.627312440645774,0.5870018601417542,3.1483190466219804,0.7344756745995896
qwen,F04_R,F04,routine,4.0,167.0,1.0,0.42128029465675354,-1.6404510473127978,0.05010518608969941
qwen,F05_A,F05,ambiguous,4.333333333333333,291.0,0.8759259259259258,0.23225352664788565,,0.009643547911334099
qwen,F05_N,F05,nonroutine,5.0,223.33333333333334,0.8102453102453101,0.3119874596595764,1.2227118768491374,0.30079620722350553
qwen,F05_R,F05,routine,4.666666666666667,401.0,0.8663711488781057,0.2186529537041982,-3.844533347231541,0.003425154477752861
qwen,F06_A,F06,ambiguous,3.3333333333333335,392.6666666666667,0.7321161821161821,0.3455166419347127,,0.3729462456537285
qwen,F06_N,F06,nonroutine,5.0,265.6666666666667,0.45324424569707594,0.37239020069440204,3.934834154796185,0.9552872586696092
qwen,F06_R,F06,routine,3.0,214.0,0.8104575163398692,0.230470339457194,-2.4900414578574583,0.0864546136752698
