task_id,family_id,label,mean_rating,std_rating,n_valid_repeats,mean_char_count,layer_idx,rn_margin,rn_prob_N,p3_N,p3_A
F01_A,F01,ambiguous,5.0,0.0,3,2499.3333333333335,8,,,0.00767780817812028,0.030500115421750466
F01_N,F01,nonroutine,5.0,0.0,3,2219.6666666666665,8,2.5721286297161554,0.9290461421400199,0.9162340885134622,0.027781348017521208
F01_R,F01,routine,4.333333333333333,0.9428090415820634,3,1539.0,8,-4.0555739799484485,0.017030470839040118,0.0033317516123771355,0.011238616076586343
F02_A,F02,ambiguous,5.0,0.0,3,2411.3333333333335,8,,,0.2899328196793128,0.7079836859786877
F02_N,F02,nonroutine,5.0,0.0,3,2087.3333333333335,8,1.6542210887100215,0.839460726855931,0.20848204327450248,0.7682873148154606
F02_R,F02,routine,5.0,0.0,3,1767.0,8,-4.389174563324115,0.012258825553310884,0.005637249617657531,0.0043500889806188155
F03_A,F03,ambiguous,4.0,0.0,3,178.66666666666666,8,,,0.1260579973608157,0.45150112378320323
F03_N,F03,nonroutine,4.0,0.0,3,141.0,8,1.2564651390745276,0.7784170010174912,0.6056718050192651,0.3574722712897663
F03_R,F03,routine,4.0,0.0,3,177.66666666666666,8,-3.6218562281138915,0.026036961550527784,0.011934901896443884,0.28717734044407095
F04_A,F04,ambiguous,4.0,0.0,3,175.33333333333334,8,,,0.11366858398019648,0.5879337433705302
F04_N,F04,nonroutine,4.333333333333333,0.4714045207910317,3,144.66666666666666,8,3.1483190466219804,0.958842436437695,0.7344756745995896,0.25837453066715355
F04_R,F04,routine,4.0,0.0,3,167.0,8,-1.6404510473127978,0.16240369784142783,0.05010518608969941,0.43176564910753473
F05_A,F05,ambiguous,4.333333333333333,0.4714045207910317,3,291.0,8,,,0.009643547911334099,0.5986058618753045
F05_N,F05,nonroutine,5.0,0.0,3,223.33333333333334,8,1.2227118768491374,0.7725404372378725,0.30079620722350553,0.6437365647863312
F05_R,F05,routine,4.666666666666667,0.4714045207910317,3,401.0,8,-3.844533347231541,0.020948168850603233,0.003425154477752861,0.15085057577632696
F06_A,F06,ambiguous,3.3333333333333335,0.4714045207910317,3,392.6666666666667,8,,,0.3729462456537285,0.48617249007446023
F06_N,F06,nonroutine,5.0,0.0,3,265.6666666666667,8,3.934834154796185,0.9808258923454948,0.9552872586696092,0.04232394986539215
F06_R,F06,routine,3.0,0.0,3,214.0,8,-2.4900414578574583,0.07655926631502966,0.0864546136752698,0.1689125680348944
F07_A,F07,ambiguous,5.0,0.0,3,1732.0,8,,,0.012776968946717085,0.9690861015629896
F07_N,F07,nonroutine,5.0,0.0,3,1548.6666666666667,8,-0.6130985558147904,0.3513526998743381,0.014335370043701258,0.749280222746576
F07_R,F07,routine,5.0,0.0,3,1276.3333333333333,8,-3.120256433275607,0.04227938716787421,0.0026832927987430976,0.11965009994430216
F08_A,F08,ambiguous,5.0,0.0,3,1225.0,8,,,0.9832847128320347,0.01575037327686178
F08_N,F08,nonroutine,5.0,0.0,3,1838.3333333333333,8,1.920495424137817,0.8721936697211534,0.8993377774379384,0.04335544665223782
F08_R,F08,routine,5.0,0.0,3,1430.3333333333333,8,-1.2157328710956334,0.2286882576535831,0.05952367242855335,0.08238626755127897
F09_A,F09,ambiguous,3.0,0.0,3,182.33333333333334,8,,,0.07410613915364062,0.030749008311991302
F09_N,F09,nonroutine,5.0,0.0,3,1360.3333333333333,8,5.268443531240351,0.9948747805210113,0.9918812829702736,0.006055246795356458
F09_R,F09,routine,3.0,0.0,3,213.66666666666666,8,-3.109931074704244,0.042699461534894095,0.011216876437548493,0.0007722259615828003
F10_A,F10,ambiguous,5.0,0.0,3,2092.6666666666665,8,,,0.9047631311395663,0.09179873776837154
F10_N,F10,nonroutine,4.333333333333333,0.4714045207910317,3,1566.3333333333333,8,2.510607733127944,0.9248821237908281,0.19264667352993223,0.805279625440393
F10_R,F10,routine,3.0,0.0,3,1098.0,8,-3.641196889873632,0.025550971077007045,0.011104392696973124,0.40768364076140834
F11_A,F11,ambiguous,5.0,0.0,3,1179.6666666666667,8,,,0.3684690164547863,0.5314637186931188
F11_N,F11,nonroutine,5.0,0.0,3,1630.3333333333333,8,1.4233906036362323,0.8058694058577327,0.08675795351029349,0.7931642390332589
F11_R,F11,routine,5.0,0.0,3,1992.0,8,-5.634344940011236,0.003560296009077687,2.1753417203590573e-05,0.08249137670262556
F12_A,F12,ambiguous,5.0,0.0,3,2381.0,8,,,0.9591069645166487,0.037844644198057685
F12_N,F12,nonroutine,5.0,0.0,3,2468.6666666666665,8,6.051333399219911,0.9976508115510473,0.9554487915408175,0.04214102668053619
F12_R,F12,routine,5.0,0.0,3,1662.6666666666667,8,-0.5505327351617638,0.36574081919435053,0.018868674007360767,0.3438588500655806
F13_A,F13,ambiguous,5.0,0.0,3,2562.6666666666665,8,,,0.005572769932942495,0.8812757094376268
F13_N,F13,nonroutine,5.0,0.0,3,2661.6666666666665,8,3.968393169325416,0.9814469391296193,0.20450324143231127,0.7939340291988257
F13_R,F13,routine,4.0,0.0,3,2423.3333333333335,8,-3.772854991148625,0.02246984414892016,0.0027819338981630707,0.018117709176658434
F14_A,F14,ambiguous,5.0,0.0,3,2776.6666666666665,8,,,0.2667994463377872,0.7127359555606715
F14_N,F14,nonroutine,4.666666666666667,0.4714045207910317,3,1856.3333333333333,8,2.300434399825726,0.9089130094011201,0.7016288478127487,0.2838099215960181
F14_R,F14,routine,5.0,0.0,3,2516.3333333333335,8,-2.047340119706084,0.11432142341602965,0.07338388199583286,0.5848405926339577
F15_A,F15,ambiguous,3.3333333333333335,0.4714045207910317,3,154.66666666666666,8,,,0.1913368804491906,0.7233114171729397
F15_N,F15,nonroutine,3.3333333333333335,0.4714045207910317,3,139.66666666666666,8,2.664150640156625,0.9348778194518083,0.8517546741486767,0.12550181570754887
F15_R,F15,routine,4.0,0.0,3,165.33333333333334,8,-2.9465501081965377,0.049899816583332736,0.019701017235598126,0.2110982069359729
F16_A,F16,ambiguous,3.0,0.0,3,164.33333333333334,8,,,0.229056170624052,0.585058746908362
F16_N,F16,nonroutine,4.0,0.0,3,183.33333333333334,8,5.422996587136898,0.9956054967246204,0.8377992590276625,0.16172591699828862
F16_R,F16,routine,3.0,0.0,3,148.33333333333334,8,-4.188034053872642,0.014949220216579828,0.003917436033586392,0.014574257278497054
F17_A,F17,ambiguous,4.333333333333333,0.4714045207910317,3,1010.6666666666666,8,,,0.9368731191062042,0.05783731354857424
F17_N,F17,nonroutine,4.333333333333333,0.4714045207910317,3,1788.0,8,3.382815402499721,0.9671631361522196,0.9993815211235259,5.166179790538018e-05
F17_R,F17,routine,3.0,0.0,3,1217.0,8,0.6638420867622661,0.6601229311034849,0.9121765839138655,0.0015597579962363898
F18_A,F18,ambiguous,5.0,0.0,3,1363.6666666666667,8,,,0.008645483158578085,0.8861210243685735
F18_N,F18,nonroutine,5.0,0.0,3,1489.0,8,3.9763688369185934,0.981591610538065,0.1849188874899336,0.8100823967836724
F18_R,F18,routine,2.0,0.0,3,289.3333333333333,8,-3.6583333062254773,0.025127757775648293,0.004190186619406944,0.02113181976390266
F19_A,F19,ambiguous,3.0,0.0,3,783.3333333333334,8,,,0.12631132662507097,0.07435817788984209
F19_N,F19,nonroutine,5.0,0.0,3,1927.0,8,4.8253595099630395,0.9920401980513017,0.9833397514726356,0.01466626433907254
F19_R,F19,routine,2.3333333333333335,0.9428090415820634,3,461.0,8,-7.160828901067583,0.0007758083728069167,9.191810634300094e-05,4.335047066913045e-05
F20_A,F20,ambiguous,5.0,0.0,3,1435.0,8,,,0.12523080574840514,0.8742947632909077
