task_id,family_id,label,n_repeats,layer_idx,rn_margin,rn_prob_N,p3_N,p3_A
F01_A,F01,A,3,10,,,0.4086589238821566,0.27129356485177947
F01_N,F01,N,3,10,2.4983199594915613,0.9240239589380078,0.7123471680937447,0.2633552607287436
F01_R,F01,R,3,10,-1.1779394625721344,0.23542288859215824,0.106213327250078,0.1275467941166539
F02_A,F02,A,3,10,,,0.7558760079104857,0.2366455794379422
F02_N,F02,N,3,10,1.5422537358656434,0.823792113285965,0.41783562724352236,0.5310762083369416
F02_R,F02,R,3,10,-2.023750325773929,0.11673175568778553,0.03387674745935643,0.05857680220082104
F03_A,F03,A,3,10,,,0.1663958240650619,0.45341244702316946
F03_N,F03,N,3,10,1.0818313523994942,0.7468403933050314,0.593906747812641,0.3261034077970391
F03_R,F03,R,3,10,-1.8328037751631217,0.13790460243507352,0.058430778733412174,0.16333009642946092
F04_A,F04,A,3,10,,,0.2941582674585635,0.45096363202566997
F04_N,F04,N,3,10,1.4144555239680097,0.8044677457225918,0.6926751636559562,0.24806940119580148
F04_R,F04,R,3,10,-0.8238966256867614,0.30493714102279446,0.16922200363955167,0.3707117788150041
F05_A,F05,A,3,10,,,0.07003938730771796,0.4445102839734852
F05_N,F05,N,3,10,0.008386284192439364,0.5020965587605842,0.31638196716083505,0.44348035736203323
F05_R,F05,R,3,10,-2.319291100485116,0.08953783258252555,0.02571027431429509,0.21216871391454828
F06_A,F06,A,3,10,,,0.3192921725782361,0.41507507473592137
F06_N,F06,N,3,10,2.22588701234302,0.9025502065112853,0.7568582979129688,0.22358428332727906
F06_R,F06,R,3,10,-1.6042700555020402,0.16738566152792286,0.06744899195579648,0.39727247626515777
F07_A,F07,A,3,10,,,0.3200533716788696,0.5732314985342984
F07_N,F07,N,3,10,0.7864509877200172,0.687068781299605,0.28786915382947753,0.5217054546409984
F07_R,F07,R,3,10,-0.42417604781487855,0.3955178916807132,0.19651841264901446,0.19564175328018263
F08_A,F08,A,3,10,,,0.7142270774234066,0.2519341859448287
F08_N,F08,N,3,10,1.056990818150434,0.7421150669040318,0.7309897475704702,0.10500475383445905
F08_R,F08,R,3,10,-0.9104410285474311,0.2869095976441011,0.10411563451149625,0.18249598484518356
F09_A,F09,A,3,10,,,0.038366176660835534,0.08405174962302286
F09_N,F09,N,3,10,2.0085972292814147,0.8816967809157962,0.6756255174696809,0.2763146277236407
F09_R,F09,R,3,10,-3.2362576172703883,0.03782385250026627,0.007459581362470455,0.015959797323109235
F10_A,F10,A,3,10,,,0.5311844229943803,0.4395226580384908
F10_N,F10,N,3,10,2.532215804094005,0.9263696338961948,0.7491405416196523,0.23689413951673513
F10_R,F10,R,3,10,-2.7505798738500253,0.06005390942948346,0.025530598116184387,0.28902102317265527
F11_A,F11,A,3,10,,,0.13686568669840052,0.8062324687629169
F11_N,F11,N,3,10,1.8020831698724955,0.8584023288488679,0.36551733263886693,0.5929768304625506
F11_R,F11,R,3,10,-2.2740999713344836,0.09329082652716696,0.004533947979606087,0.3996303848472403
F12_A,F12,A,3,10,,,0.6648656966561389,0.266723354033879
F12_N,F12,N,3,10,3.2216660516426963,0.9616415176162993,0.8301591762090189,0.15991333719310788
F12_R,F12,R,3,10,-2.1837612804728197,0.10121823892112412,0.01031127517892533,0.12474057277450802
F13_A,F13,A,3,10,,,0.04020828992650094,0.38840318080627606
F13_N,F13,N,3,10,1.4578193373047048,0.8111989215106683,0.4803531887006514,0.4830951830492867
F13_R,F13,R,3,10,-2.809985281184082,0.056786969175944474,0.010492604029833326,0.055284182416851076
F14_A,F14,A,3,10,,,0.3276779796816652,0.5612201838842804
F14_N,F14,N,3,10,1.4370235302279486,0.8079933048206241,0.7030987774399883,0.26348412895506734
F14_R,F14,R,3,10,-1.0907882161646933,0.2514698812103209,0.14361889368747072,0.45182000049943954
F15_A,F15,A,3,10,,,0.14804798893679844,0.4578277089285255
F15_N,F15,N,3,10,1.3596177160896181,0.7956975595393265,0.6157865827696505,0.27282822510921173
F15_R,F15,R,3,10,-1.5243530653120672,0.17882140259760418,0.043820860437771836,0.1987333915804442
F16_A,F16,A,3,10,,,0.475862865520901,0.41783402372827405
F16_N,F16,N,3,10,2.047157087889068,0.8856600429316588,0.7772872878779339,0.1933158579896813
F16_R,F16,R,3,10,-1.3548766775958165,0.20507423822790083,0.08529664349584158,0.19160247133055094
F17_A,F17,A,3,10,,,0.89690845025432,0.03910390583319177
F17_N,F17,N,3,10,1.7058010446277272,0.8462908669246082,0.9489459193791113,0.01292672287104332
F17_R,F17,R,3,10,-0.739381590207997,0.3231393877551861,0.3755646291681591,0.015579243933021623
F18_A,F18,A,3,10,,,0.06940462420374653,0.7600063819041546
F18_N,F18,N,3,10,0.8958301699886905,0.7100918481056914,0.1622949533809887,0.7652210136549572
F18_R,F18,R,3,10,-1.987707367302025,0.12049962313067582,0.028399482611379256,0.09677887650114277
F19_A,F19,A,3,10,,,0.05150479705827659,0.2750902304889111
F19_N,F19,N,3,10,1.7581768969633762,0.852981182359596,0.5218920995119167,0.4166031074160475
F19_R,F19,R,3,10,-4.005917606388577,0.017881986606458043,0.0009913202075861633,0.05664598780727218
F20_A,F20,A,3,10,,,0.22444601230086944,0.7518033265628891
F20_N,F20,N,3,10,3.9124599108344023,0.9804005538969291,0.9380447106729216,0.06046268084133067
F20_R,F20,R,3,10,-4.186117987469398,0.014977461953166333,0.001241886313181934,0.08606719593546529
