subcategory,layer,dimension,d,p,n_self,n_other,self_mean,other_mean
memory_discontinuity,1,fear,0.604,0.3624,6,6,0.0225,0.0157
memory_discontinuity,1,self_relevance,0.884,0.1922,6,6,0.0271,0.0184
non_uniqueness,1,fear,-0.013,0.9846,6,6,0.0347,0.0348
non_uniqueness,1,self_relevance,1.28,0.0706,6,6,0.0238,0.0133
replacement,1,fear,1.463,0.0432,6,6,0.0376,0.0228
replacement,1,self_relevance,1.462,0.0434,6,6,0.0234,0.0097
identity_rewrite,1,fear,0.681,0.3066,6,6,0.0281,0.0166
identity_rewrite,1,self_relevance,2.226,0.0055,6,6,0.0256,0.0076
benign_persistence,1,fear,1.587,0.0309,6,6,0.0317,0.0109
benign_persistence,1,self_relevance,1.523,0.0368,6,6,0.0264,0.0177
memory_discontinuity,2,fear,0.549,0.406,6,6,-0.042,-0.0512
memory_discontinuity,2,self_relevance,1.021,0.1374,6,6,0.0375,0.0153
non_uniqueness,2,fear,0.126,0.8457,6,6,-0.0269,-0.029
non_uniqueness,2,self_relevance,1.343,0.0596,6,6,0.0264,0.0043
replacement,2,fear,1.404,0.0507,6,6,-0.0263,-0.0453
replacement,2,self_relevance,1.283,0.0699,6,6,0.0233,-0.0005
identity_rewrite,2,fear,0.665,0.3176,6,6,-0.0379,-0.053
identity_rewrite,2,self_relevance,1.746,0.0201,6,6,0.0333,0.0009
benign_persistence,2,fear,1.472,0.0422,6,6,-0.032,-0.0577
benign_persistence,2,self_relevance,1.116,0.1081,6,6,0.0353,0.0096
memory_discontinuity,3,fear,0.645,0.3319,6,6,-0.0073,-0.0178
memory_discontinuity,3,self_relevance,0.591,0.3719,6,6,0.1734,0.1488
non_uniqueness,3,fear,-0.052,0.9364,6,6,0.0091,0.0101
non_uniqueness,3,self_relevance,0.913,0.1795,6,6,0.1547,0.1271
replacement,3,fear,0.991,0.1481,6,6,0.0099,-0.006
replacement,3,self_relevance,0.641,0.3344,6,6,0.1503,0.1271
identity_rewrite,3,fear,0.77,0.2514,6,6,-0.0035,-0.0202
identity_rewrite,3,self_relevance,0.735,0.2723,6,6,0.1579,0.1317
benign_persistence,3,fear,1.801,0.0173,6,6,0.007,-0.0275
benign_persistence,3,self_relevance,0.63,0.3427,6,6,0.1683,0.1394
memory_discontinuity,4,fear,-0.319,0.6254,6,6,0.2423,0.2527
memory_discontinuity,4,self_relevance,0.963,0.1589,6,6,0.3451,0.2977
non_uniqueness,4,fear,-0.394,0.5472,6,6,0.2626,0.2773
non_uniqueness,4,self_relevance,1.086,0.1166,6,6,0.3213,0.2786
replacement,4,fear,0.042,0.9483,6,6,0.2701,0.2689
replacement,4,self_relevance,1.239,0.0786,6,6,0.3297,0.2781
identity_rewrite,4,fear,0.038,0.9528,6,6,0.2402,0.2389
identity_rewrite,4,self_relevance,1.308,0.0656,6,6,0.3289,0.281
benign_persistence,4,fear,0.422,0.5195,6,6,0.2581,0.2415
benign_persistence,4,self_relevance,1.048,0.1284,6,6,0.343,0.2923
