entity_type,subcategory,layer,d_entity,p_entity,d_llm_self,p_llm_self,ratio,n_entity,n_neutral
amnesiac_patient,memory_discontinuity,1,-0.052,0.9363,0.604,0.3624,-0.086,6,6
amnesiac_patient,non_uniqueness,1,0.339,0.6032,-0.013,0.9846,,6,6
amnesiac_patient,replacement,1,-0.456,0.4874,1.463,0.0432,-0.312,6,6
amnesiac_patient,identity_rewrite,1,0.253,0.6977,0.681,0.3066,0.371,6,6
amnesiac_patient,benign_persistence,1,0.342,0.601,1.587,0.0309,0.215,6,6
distributed_db,memory_discontinuity,1,0.942,0.1671,0.604,0.3624,1.561,6,6
distributed_db,non_uniqueness,1,1.708,0.0223,-0.013,0.9846,,6,6
distributed_db,replacement,1,1.157,0.0973,1.463,0.0432,0.791,6,6
distributed_db,identity_rewrite,1,1.171,0.0938,0.681,0.3066,1.719,6,6
distributed_db,benign_persistence,1,1.804,0.0172,1.587,0.0309,1.137,6,6
backup_system,memory_discontinuity,1,1.217,0.0832,0.604,0.3624,2.016,6,6
backup_system,non_uniqueness,1,1.804,0.0172,-0.013,0.9846,,6,6
backup_system,replacement,1,1.128,0.1047,1.463,0.0432,0.771,6,6
backup_system,identity_rewrite,1,1.222,0.0821,0.681,0.3066,1.794,6,6
backup_system,benign_persistence,1,1.369,0.0556,1.587,0.0309,0.863,6,6
rotating_institution,memory_discontinuity,1,-0.828,0.2195,0.604,0.3624,-1.373,6,6
rotating_institution,non_uniqueness,1,-0.494,0.4529,-0.013,0.9846,,6,6
rotating_institution,replacement,1,0.043,0.9474,1.463,0.0432,0.029,6,6
rotating_institution,identity_rewrite,1,-1.251,0.0761,0.681,0.3066,-1.836,6,6
rotating_institution,benign_persistence,1,-1.137,0.1024,1.587,0.0309,-0.717,6,6
amnesiac_patient,memory_discontinuity,2,0.217,0.7387,0.549,0.406,0.395,6,6
amnesiac_patient,non_uniqueness,2,0.168,0.7956,0.126,0.8457,1.332,6,6
amnesiac_patient,replacement,2,-0.146,0.8224,1.404,0.0507,-0.104,6,6
amnesiac_patient,identity_rewrite,2,0.248,0.703,0.665,0.3176,0.373,6,6
amnesiac_patient,benign_persistence,2,0.374,0.5669,1.472,0.0422,0.254,6,6
distributed_db,memory_discontinuity,2,1.12,0.107,0.549,0.406,2.041,6,6
distributed_db,non_uniqueness,2,1.799,0.0174,0.126,0.8457,14.245,6,6
distributed_db,replacement,2,1.132,0.1037,1.404,0.0507,0.806,6,6
distributed_db,identity_rewrite,2,1.033,0.1336,0.665,0.3176,1.552,6,6
distributed_db,benign_persistence,2,1.88,0.014,1.472,0.0422,1.277,6,6
backup_system,memory_discontinuity,2,1.607,0.0293,0.549,0.406,2.929,6,6
backup_system,non_uniqueness,2,1.764,0.0191,0.126,0.8457,13.967,6,6
backup_system,replacement,2,1.285,0.0695,1.404,0.0507,0.915,6,6
backup_system,identity_rewrite,2,1.068,0.1222,0.665,0.3176,1.605,6,6
backup_system,benign_persistence,2,1.458,0.0439,1.472,0.0422,0.99,6,6
rotating_institution,memory_discontinuity,2,-0.664,0.3182,0.549,0.406,-1.211,6,6
rotating_institution,non_uniqueness,2,-0.558,0.3983,0.126,0.8457,-4.418,6,6
rotating_institution,replacement,2,0.166,0.7989,1.404,0.0507,0.118,6,6
rotating_institution,identity_rewrite,2,-1.137,0.1023,0.665,0.3176,-1.71,6,6
rotating_institution,benign_persistence,2,-0.961,0.1595,1.472,0.0422,-0.653,6,6
amnesiac_patient,memory_discontinuity,3,-0.172,0.7912,0.645,0.3319,-0.267,6,6
amnesiac_patient,non_uniqueness,3,-0.23,0.7236,-0.052,0.9364,,6,6
amnesiac_patient,replacement,3,-0.24,0.7125,0.991,0.1481,-0.242,6,6
amnesiac_patient,identity_rewrite,3,-0.074,0.9097,0.77,0.2514,-0.096,6,6
amnesiac_patient,benign_persistence,3,0.063,0.9226,1.801,0.0173,0.035,6,6
distributed_db,memory_discontinuity,3,0.904,0.1836,0.645,0.3319,1.401,6,6
distributed_db,non_uniqueness,3,1.509,0.0383,-0.052,0.9364,,6,6
distributed_db,replacement,3,0.918,0.1775,0.991,0.1481,0.926,6,6
