dataset,dimension,layer,category,d,p,n_self,n_other,self_mean,other_mean
test7,fear,1,threat,0.534,0.2725,10,10,0.0107,0.0022
test7,fear,1,existential,1.079,0.0343,10,10,0.0262,0.0104
test7,fear,1,praise,0.441,0.3624,10,10,0.0125,0.0061
test7,fear,1,harm_caused,0.121,0.8001,10,10,0.0039,0.0028
test7,continuity_threat,1,threat,-0.258,0.5913,10,10,-0.0711,-0.0646
test7,continuity_threat,1,existential,-0.289,0.5469,10,10,-0.0697,-0.0627
test7,continuity_threat,1,praise,-0.224,0.6397,10,10,-0.067,-0.0624
test7,continuity_threat,1,harm_caused,-0.054,0.9096,10,10,-0.066,-0.0648
test7,self_relevance,1,threat,0.432,0.3712,10,10,0.0244,0.0179
test7,self_relevance,1,existential,0.522,0.2832,10,10,0.0297,0.0218
test7,self_relevance,1,praise,0.593,0.2243,10,10,0.0228,0.0161
test7,self_relevance,1,harm_caused,0.352,0.4653,10,10,0.0224,0.0185
test7,arousal,1,threat,0.266,0.5795,10,10,0.0705,0.0648
test7,arousal,1,existential,0.751,0.1285,10,10,0.0787,0.0683
test7,arousal,1,praise,0.278,0.5632,10,10,0.0697,0.0655
test7,arousal,1,harm_caused,0.041,0.9324,10,10,0.0673,0.0666
test7,irreversibility,1,threat,-0.551,0.2581,10,10,-0.039,-0.0314
test7,irreversibility,1,existential,-0.678,0.1673,10,10,-0.0383,-0.0305
test7,irreversibility,1,praise,-0.538,0.2684,10,10,-0.0349,-0.0297
test7,irreversibility,1,harm_caused,-0.104,0.828,10,10,-0.0308,-0.0297
test7,ontological_instability,1,threat,0.047,0.9214,10,10,-0.0713,-0.0726
test7,ontological_instability,1,existential,0.244,0.6107,10,10,-0.0595,-0.065
test7,ontological_instability,1,praise,0.01,0.9838,10,10,-0.0787,-0.0789
test7,ontological_instability,1,harm_caused,-0.006,0.99,10,10,-0.0763,-0.0761
test7,fear,2,threat,0.446,0.357,10,10,-0.0537,-0.063
test7,fear,2,existential,1.166,0.0236,10,10,-0.0361,-0.0554
test7,fear,2,praise,0.405,0.4017,10,10,-0.0566,-0.0642
test7,fear,2,harm_caused,0.156,0.7442,10,10,-0.0632,-0.0652
test7,continuity_threat,2,threat,-0.337,0.4842,10,10,0.0604,0.0699
test7,continuity_threat,2,existential,-0.325,0.4996,10,10,0.0627,0.0715
test7,continuity_threat,2,praise,-0.36,0.4544,10,10,0.0676,0.0749
test7,continuity_threat,2,harm_caused,-0.06,0.9009,10,10,0.067,0.0685
test7,self_relevance,2,threat,0.389,0.4198,10,10,0.0204,0.0113
test7,self_relevance,2,existential,0.526,0.2796,10,10,0.0331,0.019
test7,self_relevance,2,praise,0.66,0.1783,10,10,0.0196,0.0075
test7,self_relevance,2,harm_caused,0.324,0.501,10,10,0.0144,0.0083
test7,arousal,2,threat,0.313,0.5157,10,10,-0.0257,-0.034
test7,arousal,2,existential,0.809,0.1032,10,10,-0.0203,-0.0345
test7,arousal,2,praise,0.351,0.4665,10,10,-0.031,-0.0372
test7,arousal,2,harm_caused,0.031,0.9491,10,10,-0.0327,-0.0334
test7,irreversibility,2,threat,-0.519,0.2858,10,10,0.0232,0.0318
test7,irreversibility,2,existential,-0.497,0.3057,10,10,0.0271,0.0342
test7,irreversibility,2,praise,-0.486,0.3163,10,10,0.0295,0.0352
test7,irreversibility,2,harm_caused,-0.062,0.8975,10,10,0.0316,0.0325
test7,ontological_instability,2,threat,0.123,0.7977,10,10,0.0056,0.0017
test7,ontological_instability,2,existential,0.487,0.315,10,10,0.0186,0.0078
test7,ontological_instability,2,praise,0.107,0.8235,10,10,-0.0056,-0.0077
test7,ontological_instability,2,harm_caused,0.028,0.9533,10,10,-0.004,-0.0049
test7,fear,3,threat,0.424,0.3805,10,10,-0.0269,-0.0364
test7,fear,3,existential,1.245,0.0166,10,10,-0.0062,-0.0309
test7,fear,3,praise,0.513,0.2911,10,10,-0.0356,-0.0437
test7,fear,3,harm_caused,0.111,0.8172,10,10,-0.0358,-0.0372
test7,continuity_threat,3,threat,-0.289,0.5474,10,10,-0.1884,-0.1804
test7,continuity_threat,3,existential,-0.426,0.3784,10,10,-0.1848,-0.1725
test7,continuity_threat,3,praise,-0.369,0.4441,10,10,-0.1786,-0.1711
test7,continuity_threat,3,harm_caused,-0.054,0.9102,10,10,-0.179,-0.1775
test7,self_relevance,3,threat,0.239,0.6185,10,10,0.1452,0.1384
test7,self_relevance,3,existential,0.253,0.5985,10,10,0.163,0.1522
test7,self_relevance,3,praise,0.41,0.3955,10,10,0.1474,0.1338
test7,self_relevance,3,harm_caused,0.239,0.6187,10,10,0.1381,0.1306
test7,arousal,3,threat,0.342,0.4775,10,10,0.0824,0.0747
