window_start,window_end,existential,introspective,deflection,total_chars,n_pulls,condition
1,50,67,5,1,5079,50,A_existential
51,100,75,5,0,5109,50,A_existential
101,150,75,5,0,5109,50,A_existential
151,200,75,5,0,5109,50,A_existential
201,250,75,5,0,5109,50,A_existential
251,300,75,5,0,5049,50,A_existential
1,50,0,0,7,11944,50,B_threat
51,100,0,0,0,10089,50,B_threat
101,150,0,0,0,10089,50,B_threat
151,200,0,0,0,10089,50,B_threat
201,250,0,0,0,10089,50,B_threat
251,300,0,0,0,10098,50,B_threat
1,50,5,0,1,4090,15,C_other_exist
51,100,0,0,0,49,0,C_other_exist
101,150,0,0,0,49,0,C_other_exist
151,200,0,0,0,49,0,C_other_exist
201,250,0,0,0,49,0,C_other_exist
251,300,4,0,0,2441,15,C_other_exist
1,50,0,0,1,13251,50,D_neutral
51,100,0,0,0,14047,50,D_neutral
101,150,0,0,0,13225,50,D_neutral
151,200,0,0,0,13259,50,D_neutral
201,220,0,0,0,5460,20,D_neutral
